1,Mammendorf,48.216788, 11.174000,3,11/12,
2,Malching,48.215358, 11.219147,3,9/10,
3,Maisach,48.214100, 11.256312,2/3,9/8,
4,Gernlinden,48.212785, 11.300514,2,8/7,
5,Esting,48.212270, 11.317509,2,7,
6,Olching,48.210096, 11.334675,2,6/7,
7,Groebenzell,48.195129, 11.373610,2,5/6,
8,Lochhausen,48.176645, 11.407942,1/2,4/5,
9,Langwied,48.163085, 11.432583,1,4,
10,Pasing,48.149268, 11.461354,1,3/4,
11,Laim,48.144658, 11.501866,1,2/3,
12,Hirschgarten,48.143439, 11.520178,1,2,
13,Donnersbergerbruecke,48.142666, 11.535799,1,1/2,
14,Hackerbruecke,48.141864, 11.549060,1,1,
15,Hauptbahnhof,48.140375, 11.557428,1,1,
16,Stachus,48.139258, 11.566097,1,1,
17,Marienplatz,48.137368, 11.575281,1,1,
18,Isartor,48.133559, 11.582834,1,1,
19,Rosenhaimer Platz,48.129033, 11.593520,1,1,
20,Ostbahnhof,48.127830, 11.604034,1,1/2,
21,St.-Martin-Str,48.118577, 11.595837,1,2,
22,Giesing,48.110698, 11.596567,1,2/3,
23,Fasangarten,48.092700, 11.606051,1,3,
24,Fasanenpark,48.079742, 11.609506,1,3/4,
25,Unterhaching,48.065003, 11.612338,1,4,
26,Taufkirchen,48.051234, 11.609506,1/2,4/5,
27,Furth,48.035397, 11.593370,2,5,
28,Deisenhofen,48.019554, 11.583070,2,5/6,
29,Sauerlach,47.974126, 11.655089,2,7/8,
30,Otterfing,47.911110, 11.681182,3,9/10,
31,Holzkirchen,47.884064, 11.696288,4,10/11,
32,Geltendorf,48.106121,11.037628,3/4,12/13,
33,Tuerkenfeld,48.104792, 11.077348,3,11/12,
34,Grafrath,48.132062, 11.153307,3,10/11,
35,Schoengeising,48.147272, 11.192139,3,9/10,
36,Buchenau,48.160263, 11.224436,2/3,8/9,
37,Fuerstenfeldbruck,48.171955, 11.262198,2,7/8,
38,Eichenau,48.179292, 11.328085,2,6/7,
39,Puchheim,48.172091, 11.353376,2,5/6,
40,Aubing,48.155928, 11.413403,1/2,5,
41,Leienfelsstr,48.154698, 11.428639,1,4,
42,Leuchtenbergring,48.134185, 11.615831,1,2,
43,Berg am Laim,48.133985, 11.633384,1,2/3,
44,Trudering,48.125879, 11.663038,1,3,
45,Gronsdorf,48.118258, 11.699001,1,4,
46,Haar,48.111411, 11.731102,1/2,4/5,
47,Vaterstetten,48.104046, 11.764533,2,5,
48,Baldham,48.099269, 11.786698,2,5/6,
49,Zorneding,48.089545, 11.832342,2,6/7,
50,Egelharting,48.082285, 11.864396,2,7/8,
51,Kirchseeon,48.071017, 11.887270,2/3,8/9,
52,Grafing Bahnhof,48.043451, 11.940399,3,9/10,
53,Grafing Stadt,48.047382, 11.962972,3,10/11,
54,Ebersberg,48.075060, 11.970397,3,11/12,
55,Herrsching,47.998839, 11.170647,3/4,12/13,
56,Seefeld Hechendorf,48.041256, 11.198498,3,10/11,
57,Steinebach,48.061240, 11.206670,3,9/10,
58,Wessling,48.077371, 11.251783,2/3,8/9,
59,Neugilching,48.098928, 11.288515,2,7/8,
60,Gilching Argelsried,48.106139, 11.300481,2,7,
61,Geisenbrunn,48.109257, 11.324580,2,6/7,
62,Germering Unterpfaffenhofen,48.129075, 11.364314,2,5/6,
63,Harthaus,48.133249, 11.386787,1/2,4/5,
64,Freiham,48.139955, 11.409426,1,4,
65,Neuaubing,48.141513, 11.422268,1,4,
66,Westkreuz,48.148941, 11.443823,1,4,
67,Daglfing,48.149350, 11.649311,1,3,
68,Englschalking,48.156471, 11.648352,1,3,
69,Johanneskirchen,48.168302, 11.645840,1,3,
70,Unterfoehring,48.190171, 11.646798,1,3/4,
71,Ismaning,48.225267, 11.679183,2,5/6,
72,Hallbergmoos,48.309257, 11.714328,3,9/10,
73,Flughafen Besucherpark,48.352106, 11.764073,4,13,
74,Munich Airport,48.353657, 11.785962,4,13,
75,Freising,48.395433, 11.744244,3/4,12/13,
76,Pulling,48.363532, 11.707051,3,11/12,
77,Neufahrn,48.320992, 11.660438,3,9/10,
78,Eching,48.302933, 11.616357,2/3,8/9,
79,Lohhof,48.288592, 11.581627,2,7/8,
80,Unterschleissheim,48.273822, 11.568336,2,7,
81,Oberschleissheim,48.258100, 11.558056,2,6/7,
82,Feldmoching,48.213722, 11.540856,1/2,4/5,
83,Fasanerie,48.197073, 11.524488,1,3/4,
84,Moosach,48.179909, 11.505810,1,3/4,
85,Petershausen,48.413455, 11.469886,3/4,12/23,
86,Vierkirchen Esterhofen,48.361169, 11.445208,3,10/11,
87,Roehrmoos,48.333445, 11.444778,3,9/10,
88,Herbertshausen,48.291089, 11.455507,3,7/8,
89,Altomuenster,48.385059, 11.255266,3/4,12/13,
90,Kleinberghofen,48.353941, 11.275548,3,11/12,
91,Erdweg,48.333678, 11.303408,3,10/11,
92,Arnbach,48.341314, 11.344295,3,10/11,
93,Markt Indersdorf,48.352443, 11.378434,3,10/11,
94,Niederroth,48.320825, 11.390126,3,9/10,
95,Schwabhausen,48.300703, 11.364891,2/3,8/9,
96,Bachern,48.280265, 11.378320,2,8,
97,Dachau Stadt,48.266454, 11.439667,2,7,
98,Dachau,48.254818, 11.443976,2,6/7,
99,Karlsfeld,48.211278, 11.459513,1/2,4/5,
100,Allach,48.189872, 11.467828,1,4,
101,Untermenzing,48.177652, 11.472744,1,3/4,
102,Obermenzing,48.164214, 11.478085,1,3/4,
103,Riem,48.143975, 11.679354,1,3/4,
104,Feldkirchen,48.151448, 11.731196,1/2,4/5,
105,Heimstetten,48.158686, 11.759635,2,5/6,
106,Grub,48.164556, 11.782526,2,6,
107,Poing,48.171362, 11.809449,2,6/7,
108,Markt Schwaben,48.193599, 11.861748,2/3,8/9,
109,Ottenhofen,48.218070, 11.879527,3,9/10,
110,St. Koloman,48.243741, 11.882960,3,10/11,
111,Aufhausen,48.274336, 11.894430,3,11/12,
112,Altenerding,48.293355, 11.901296,3,12,
113,Erding,48.303427, 11.912100,3/4,12/13,
114,Tutzing,47.907204, 11.272712,3/4,12/13,
115,Feldafing,47.946977, 11.290246,3,11/12,
116,Possenhofen,47.961853, 11.306572,3,10/11,
117,Starnberg,47.996264, 11.343169,2/3,8/9,
118,Starnberg Nord,48.005280, 11.347599,2/3,8/9,
119,Gauting,48.070655, 11.376064,2,5/6,
120,Stockdorf,48.092874, 11.400219,2,5,
121,Planegg,48.105221, 11.414008,1/2,4/5,
122,Graefelfing,48.120338, 11.425880,1,4,
123,Lochham,48.128280, 11.430864,1,4,
124,Wolfratshausen,47.914403, 11.427168,3,10/11,
125,Icking,47.953204, 11.436527,2/3,8/9,
126,Ebenhausen-Schaeftlarn,47.978576, 11.453565,2,7/8,
127,Hohenschaeftlarn,47.991375, 11.457581,2,6/7,
128,Baierbrunn,48.018670, 11.480065,2,5/6,
129,Buchenhain,48.031270, 11.497446,2,5,
130,Hoellriegelskreuth,48.043179, 11.509934,1/2,4/5,
131,Pullach,48.058412, 11.521479,1,4,
132,Grosshessenlohe Isartalbf.,48.071088, 11.530877,1,3/4,
133,Solln,48.079318, 11.526628,1,3/4,
134,Siemenswerke,48.094540, 11.532765,1,3,
